indication	n_adc_candidates
HER2 Low Breast Adenocarcinoma	1
HER2 Low Breast Carcinoma	1
HER2 Positive Breast Cancer	1
HER2-Positive Breast Carcinoma	1
HER2-expressing Non-small Cell Lung Cancer	1
HER2-mutant Non-Small Cell Lung Cancer	1
HER2-positive Colorectal Cancer	1
HER2-positive Early Breast Cancer	1
Hormone Receptor Positive Breast Carcinoma	1
Inflammatory Breast Cancer Stage III	1
Leptomeningeal Metastasis	1
Locally Advanced Gastric Carcinoma	1
Locally Advanced Gastroesophageal Junction Adenocarcinoma	1
Locally Advanced Lung Non-Small Cell Carcinoma	1
Locally Advanced Malignant Solid Neoplasm	1
Locally Advanced or Metastatic Non-Small Cell Lung Cancer	1
Malignant Hepatobiliary Neoplasm	1
Malignant Neoplasm of Breast	1
Metastatic Colon Carcinoma	1
Metastatic Colorectal Carcinoma	1
Metastatic Endometrial Carcinoma	1
Metastatic Gastric Carcinoma	1
Metastatic Gastroesophageal Junction Adenocarcinoma	1
Metastatic Lung Non-Small Cell Carcinoma	1
Neoplasm, Breast	1
Neoplasm, Gastrointestinal	1
Osteosarcoma	1
Part 1: Bladder, Biliary Tract, Cervical, Endometrial, Ovarian, Pancreatic Cancer, Rare Tumors, Any Tumor Type Excluding Breast, Gastric, Colorectal Cancer	1
Part 2: HER2 Expressing/Amplified Solid Tumors Excluding Breast, Gastric, Colorectal Cancer	1
Platinum-Resistant Ovarian High Grade Serous Adenocarcinoma	1
Recurrent Desmoplastic Small Round Cell Tumor	1
Recurrent Kidney Wilms Tumor	1
Refractory Desmoplastic Small Round Cell Tumor	1
Refractory Wilms Tumor	1
Stage II Breast Cancer	1
Stage IIA Breast Cancer	1
Stage IIB Breast Cancer	1
Stage III Colon Cancer AJCC v8	1
Stage III Colorectal Cancer AJCC v8	1
Stage III Lung Cancer AJCC v8	1
Stage III Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8	1
Stage IV Colon Cancer AJCC v8	1
Stage IV Colorectal Cancer AJCC v8	1
Stage IV Lung Cancer AJCC v8	1
Stage IV Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8	1
Unresectable Colon Carcinoma	1
Unresectable Colorectal Carcinoma	1
Unresectable Endometrial Carcinoma	1
Unresectable Gastric Carcinoma	1
Unresectable Gastroesophageal Junction Adenocarcinoma	1
Unresectable Malignant Solid Neoplasm	1
Wilms Tumor	1
Advanced Solid Tumors	1
Anaplastic Thyroid Cancer	1
Circulating Tumor DNA	1
Differentiated Thyroid Cancer	1
HPV Positive Oropharyngeal Squamous Cell Carcinoma	1
HR-Positive Breast Cancer	1
HRD Cancer	1
Her 2 Positive Breast Cancer	1
Hormone-receptor-positive Breast Cancer	1
Human Epidermal Growth Factor 2 Low Breast Cancer	1
Hypopharynx Cancer	1
Hypopharynx Squamous Cell Carcinoma	1
Invasive Breast Carcinoma	1
Larynx Cancer	1
Larynx Squamous Cell Carcinoma	1
Locally Advanced Cholangiocarcinoma	1
Locally Advanced or Metastatic Urothelial Carcinoma	1
Metastatic Cholangiocarcinoma	1
Metastatic HER2 Negative Breast Carcinoma	1
Nasal Cavity Cancer	1
Oral Cavity Cancer	1
Oral Squamous Cell Carcinoma	1
Oropharynx Cancer	1
Oropharynx Squamous Cell Carcinoma	1
PD-L1 Negative	1
Recurrent Cholangiocarcinoma	1
Refractory Bladder Urothelial Carcinoma	1
Refractory Urothelial Carcinoma	1
Residual Cancer	1
SCLC	1
Sinus Cancer	1
Stage III Hilar Cholangiocarcinoma AJCC v8	1
Stage III Intrahepatic Cholangiocarcinoma AJCC v8	1
Stage IIIA Breast Cancer	1
Stage IIIB Breast Cancer	1
Stage IIIC Breast Cancer	1
Stage IV Hilar Cholangiocarcinoma AJCC v8	1
Stage IV Intrahepatic Cholangiocarcinoma AJCC v8	1
AL Amyloidosis	1
Anaplastic Lymphoma Kinase Positive Large B-Cell Lymphoma	1
Multiple Myeloma, Refractory	1
Myeloma	1
